#r   U_mean  k   eps
187
4.9398671029928320E-01   1.4761194834640592E-01   1.5787715491049203E-03   3.1926400775669772E-02
4.9440004732503851E-01   1.3757001401239236E-01   1.3776952059938560E-03   3.2115624887739641E-02
4.9481079437807968E-01   1.2756969395453513E-01   1.1901817949336844E-03   3.2302552971096438E-02
4.9521914142852291E-01   1.1760855839787163E-01   1.0162631693788995E-03   3.2489778915928726E-02
4.9562527733648531E-01   1.0768398908566502E-01   8.5595824046103301E-04   3.2680297386646170E-02
4.9602938993943285E-01   9.7793164305196481E-02   7.0927730289630376E-04   3.2877457463247162E-02
4.9643166613905487E-01   8.7933067859465419E-02   5.7622794598854749E-04   3.3085144789409930E-02
4.9683229198770590E-01   7.8100523203518013E-02   4.5682118741542535E-04   3.3307632555541061E-02
4.9723145277445480E-01   6.8292194898260383E-02   3.5107724576521502E-04   3.3549687284097081E-02
4.9762933311078061E-01   5.8504588971434707E-02   2.5903156201348507E-04   3.3816606957707961E-02
4.9802611701595534E-01   4.8734059202943589E-02   1.8074118284974115E-04   3.4114302664620823E-02
4.9842198800215270E-01   3.8976813080040945E-02   1.1629143368077261E-04   3.4449416838668749E-02
4.9881712915932214E-01   2.9228917413238482E-02   6.5802935693244828E-05   3.4829484399573368E-02
4.9921172323986807E-01   1.9486303621659345E-02   2.9439031448131507E-05   3.5263143692966258E-02
4.9960595274317227E-01   9.7447727131326801E-03   7.4136934277055012E-06   3.5760404959872975E-02
5.0009999999999999E-01   5.8911629093499864E-16   1.4424413801431693E-23   3.6332985184590841E-02
